,Left,,,,,,,,,Right,,,,,,,
Time,Hip(Sgt),Hip(Frt),Hip(Trv),Knee,Ankle(Sgt),Ankle(Frt),Ankle(Trv),,,Hip(Sgt),Hip(Frt),Hip(Trv),Knee,Ankle(Sgt),Ankle(Frt),Ankle(Trv),
0,21.6154748434246,0.534360929077839,-4.11098199381188,50.9091874794076,-9.13140595293059,-0.316130498366084,0,0,0,10.4808905210642,0.188567696848128,0.122328969461106,2,-9.07227986601807,-0.0955084561763911,0,0,-0.050101344123368,0.136431947965758,1.13397386173837,0.9999859990828,-0.00515940894504011,-0.00107722163346633,0.00047088349370139
0.001,21.6127049100241,0.529846265620899,-4.1135024150376,50.9099179116015,-9.1318056938418,-0.316823707678018,0,0,0,10.4873627940976,0.189036640557421,0.121416808749388,2,-9.07394422620004,-0.0914021958514883,0,0,-0.0501112188625056,0.136382151107022,1.13395837739799,0.99998613822599,-0.00511744462881427,-0.00110568620767257,0.000488831874274496
0.002,21.6099999324968,0.525437035970827,-4.11596398097861,50.9106308047411,-9.13219601295732,-0.31750072604386,0,0,0,10.4936836171843,0.189494608824882,0.120525999951089,2,-9.0755694972296,-0.0873925610136359,0,0,-0.0501208591636931,0.136333525615004,1.13394325445724,0.999986274123937,-0.00507646102030142,-0.00113348150463969,0.0005063568993638
0.003,21.607359181611,0.521132062945424,-4.11836734867669,50.9113263618157,-9.1325770167599,-0.318161734267256,0,0,0,10.4998546857744,0.189941724532438,0.119656303938788,2,-9.0771561188564,-0.0834784619294139,0,0,-0.0501302677019945,0.13628605828535,1.13392848888415,0.99998640681281,-0.00503644715945411,-0.00116061506440283,0.000523463358567503
0.004,21.6047819281352,0.51693016936249,-4.1207131751736,50.9120047858147,-9.13294881173228,-0.318806913151854,0,0,0,10.5058776953179,0.190378110562016,0.118807481585068,2,-9.07870453083008,-0.0796588088654022,0,0,-0.0501394471524737,0.136239735913706,1.13391407664676,0.999986536328781,-0.00499739208622486,-0.00118709442699714,0.000540156041483808
0.005,21.6022674428376,0.512830178039825,-4.12300211751114,50.9126662797275,-9.13331150435721,-0.319436443501302,0,0,0,10.5117543412646,0.190803889795542,0.117979293762511,2,-9.08021517290028,-0.0759325120881808,0,0,-0.0501484001901946,0.136194545295717,1.13390001371309,0.99998666270802,-0.0049592848405662,-0.00121292713245775,0.000556439737710917
0.006,21.5998149964868,0.50883091179523,-4.12523483273108,50.9133110465435,-9.13366520111743,-0.320050506119248,0,0,0,10.5174863190647,0.191219185114943,0.117171501343698,2,-9.08168848481664,-0.0722984818643293,0,0,-0.0501571294902212,0.136150473227031,1.13388629605118,0.999986785986696,-0.00492211446243068,-0.00123812072081982,0.000572319236847032
0.007,21.597423859851,0.504931193446505,-4.1274119778752,50.9139392892521,-9.13401000849569,-0.320649281809338,0,0,0,10.5230753241679,0.191624119402147,0.11638386520121,2,-9.0831249063288,-0.068755628460428,0,0,-0.0501656377276174,0.136107506503292,1.13387291962905,0.999986906200982,-0.00488586999177083,-0.00126268273211849,0.000587799328490356
0.008,21.5950933036987,0.50112984581145,-4.12953420998528,50.9145512108428,-9.13434603297473,-0.32123295137522,0,0,0,10.5285230520244,0.192018815539078,0.115616146207629,2,-9.0845248771864,-0.0653028621430565,0,0,-0.0501739275774471,0.136065631920147,1.13385988041473,0.999987023387046,-0.00485054046853917,-0.00128662070638889,0.00060288480223909
0.009,21.5928225987982,0.497425691707867,-4.13160218610309,50.9151470143048,-9.13467338103729,-0.321801695620542,0,0,0,10.533831198084,0.192403396407665,0.114868105235537,2,-9.08588883713908,-0.0619390931787948,0,0,-0.0501820017147743,0.136024836273241,1.13384717437625,0.99998713758106,-0.00481611493268825,-0.00130994218366618,0.000617580447691436
0.01,21.5906110159179,0.493817553953555,-4.13361656327043,50.9157269026275,-9.13499215916613,-0.322355695348951,0,0,0,10.5390014577967,0.192777984889834,0.114139503157516,2,-9.08721722593649,-0.0586632318342229,0,0,-0.050189862814663,0.135985106358221,1.13383479748164,0.999987248819194,-0.00478258242417059,-0.0013326547039855,0.000631891054445598
0.011,21.5884578258261,0.490304255366316,-4.13557799852906,50.9162910788005,-9.13530247384397,-0.322895131364095,0,0,0,10.5440355266125,0.193142703867512,0.113430100846146,2,-9.08851048332826,-0.0554741883759206,0,0,-0.050197513552177,0.135946428970733,1.13382274569894,0.999987357137618,-0.00474993198293873,-0.00135476580738198,0.000645821412099776
0.012,21.5863622992914,0.486884618763948,-4.13748714892078,50.916839745813,-9.13560443155357,-0.323420184469621,0,0,0,10.5489350999813,0.193497676222624,0.112739659174009,2,-9.08976904906403,-0.0523708730704678,0,0,-0.0502049566023803,0.135908790906423,1.13381101499617,0.999987462572503,-0.00471815264894521,-0.00137628303389078,0.000659376310252174
0.013,21.5843237070819,0.483557466964254,-4.13934467148734,50.9173731066544,-9.13589813877767,-0.323931035469177,0,0,0,10.5537018733532,0.193843024837099,0.112067939013688,2,-9.09099336289345,-0.0493521961844445,0,0,-0.0502121946403369,0.135872178960936,1.13379960134135,0.999987565160019,-0.00468723346214255,-0.00139721392354703,0.000672560538500993
0.014,21.5823413199662,0.480321622785033,-4.14115122327055,50.9178913643142,-9.13618370199902,-0.32442786516641,0,0,0,10.558337542178,0.194178872592862,0.111414701237763,2,-9.09218386456615,-0.0464170679844306,0,0,-0.0502192303411107,0.135836579929919,1.13378850070253,0.999987664936337,-0.0046571634624833,-0.00141756601638589,0.000685378886444435
